Ref,Val,Package,PosX,PosY,Rot,Side
"R_out_flags_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",74.890000,-123.190000,0.000000,top
"R_out_flags_z_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",191.770000,-148.590000,0.000000,top
"R_out_iar_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",26.630000,-115.570000,0.000000,top
"R_out_iar_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",26.630000,-123.190000,0.000000,top
"R_out_ir_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",49.490000,-123.190000,0.000000,top
"R_out_is_bus1_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",18.770000,-85.090000,0.000000,top
"R_out_r0_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.050000,-115.570000,0.000000,top
"R_out_r0_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.050000,-123.190000,0.000000,top
"R_out_r1_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.670000,-115.570000,0.000000,top
"R_out_r1_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.670000,-123.190000,0.000000,top
"R_out_r2_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.290000,-115.570000,0.000000,top
"R_out_r2_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.290000,-123.190000,0.000000,top
"R_out_r3_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",107.910000,-115.570000,0.000000,top
"R_out_r3_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",107.910000,-123.190000,0.000000,top
"R_out_ram_a_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.730000,-123.190000,0.000000,top
"R_out_ram_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",41.870000,-115.570000,0.000000,top
"R_out_ram_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",41.870000,-123.190000,0.000000,top
"R_out_s1_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.050000,-148.590000,0.000000,top
"R_out_s2_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.670000,-148.590000,0.000000,top
"R_out_s3_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.330000,-148.590000,0.000000,top
"R_out_s4_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",107.950000,-148.590000,0.000000,top
"R_out_s5_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.530000,-148.590000,0.000000,top
"R_out_s6_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.150000,-148.590000,0.000000,top
"R_out_sysbus_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",206.970000,-120.650000,0.000000,top
"R_out_sysbus_1","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",196.810000,-120.650000,0.000000,top
"R_out_sysbus_2","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",186.650000,-120.650000,0.000000,top
"R_out_sysbus_3","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.490000,-120.650000,0.000000,top
"R_out_sysbus_4","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.330000,-120.650000,0.000000,top
"R_out_sysbus_5","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.170000,-120.650000,0.000000,top
"R_out_sysbus_6","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.010000,-120.650000,0.000000,top
"R_out_sysbus_7","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.850000,-120.650000,0.000000,top
"R_out_temp_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",57.110000,-123.190000,0.000000,top
"R_reset_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.890000,-111.760000,0.000000,top
"R_vcc_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",6.350000,-92.710000,0.000000,top
"U_pwr_vcc_1","100uF","CP_Elec_6.3x5.4",194.310000,-31.750000,0.000000,top
